Segment,Rank,Company,RA_Lead,Market,Department,Appeal_of_RA_to_Sponsor,Expectations_Alignment,Lead_Technology,Service,Marketing_Channel,Size,Status,Size_of_RA_Team,Verticals,Client_Maturity,Data_Analyst_on_staff,Plan_to_Hand_over,Customer_Satisfaction,RA_Satisfaction,Profitability,IP_Reusability,Growth_Potential,Referenceability,Score
Platinum,1,Thrive Capital,Mark Rittman,North America,Data Team,"Experience, domain knowledge & agile skills",High,dbt,Data Centralization ,Website,Startup (1-50),Active,3,eCommerce/Marketplace/SaaS,"Medium for client, High for sponsor",Y,Y,5,4,5,5,5,1,25
Platinum,2,Ageras,Lewis Baker,EU,Product,"Experience, Process & Partnerships",High,dbt,Data Team Enablement,Website,SMB (50-100),Active,2,B2B Marketplace / Healthcare,Medium for client and sponsor,Y,Y,4,4,5,2,3,5,23
Platinum,3,Kaplan International Pathways,Lewis Baker,UK,IT,Recommendation & Process,High,dbt,Data Team Enablement,Customer Referral,MM (100-500),Active,3,Education,Medium for client and sponsor,Y,Y,4,5,5,3,4,1,22
Platinum,4,Breakthrough,Olivier Dupuis,North America,IT,Recommendation & Process,High,dbt,Data Team Enablement,Partner,SMB (50-100),Active,2,Tech Startup,Medium for client and sponsor,Y,Y,4,4,4,1,4,5,22
Platinum,5,INTO University Partnerships,Mark Rittman,UK,MIS,Digital Analytics Experience,High,Segment,Data Collection,Personal Network,MM (100-500),Dormant,2,Education,"Medium for client, high for sponsor",Y,Y,4,3,4,4,1,4,20
Platinum,6,Colourpop,Mark Rittman,North America,eCommerce,Awareness of client data,High,Looker,Data Analytics,Personal Network,SMB (50-100),Churned,2,Cosmetics,"Low for client, medium for sponsor",Y,Y,4,4,3,3,1,4,19
Platinum,7,Football Index,Mark Rittman,UK,Data Team/IT,Combination of old + new skills,High,dbt,Data Team Enablement,Personal Network,SMB (50-100),Churned,3,Gaming / Fintech,"Medium for client, high for sponsor",Y,Y,4,5,5,3,1,1,19
Gold,8,Qubit,Mark Rittman,UK,Product,Combination of old + new skills,Medium,Looker,Data Analytics,Personal Network,SMB (50-100),Dormant,3,MarTech / Tech Startup,Medium for client and sponsor,Y,Y,4,3,4,2,2,4,19
Gold,9,Florence,Mark Rittman,UK,CEO,Recommendation + agile skills,Medium,Looker,Data Analytics,Partner,Startup (1-50),Churned,2,B2B Marketplace / Healthcare,"Low for client, medium for sponsor",Y,Y,5,3,3,2,1,5,19
Gold,10,Lick,Mark Rittman,UK,Marketing/IT,"Recommendation, domain Knowledge & agile Skills",Medium,dbt,Data Analytics,Website,Startup (1-50),Dormant,1,eCommerce,"Low for client, medium for sponsor",N,Y,3,4,4,4,3,1,19
Gold,11,Rebtel,Mark Rittman,EU,Data Team,Combination of old + new skills,High,dbt,Data Team Enablement,Partner,SMB (50-100),Churned,2,Telecoms / Fintech,Medium for client and sponsor,Y,Y,4,4,4,1,1,4,18
Gold,12,RIXO,Lewis Baker,UK,Data Team,"Experience, Process & Partnerships",Medium,Looker,Data Analytics,Partner,Startup (1-50),Active,5,B2C eCommerce / Mobile App,"Low for client, Medium for sponsor",Y,N,4,3,3,3,3,2,18
Gold,13,Oda Norway AS,Mark Rittman,EU,Marketing,Domain Knowledge & Technical Skills,Medium,dbt,Marketing Attribution,Website,MM (100-500),Active,2,eCommerce,Medium for client and sponsor,Y,Y,3,3,4,4,3,1,18
Gold,14,Sytner Group,Lewis Baker,UK,Marketing,"Experience, process & recommendation",High,dbt,Data Team Enablement,Website,Enterprise (500+),Active,2,eCommerce / Automotive,"Medium for client, High for Sponsor",Y,Y,4,4,4,1,4,1,18
Silver,15,Switcher Studio,Mark Rittman,North America,Marketing,Segment + industry skills,Medium,dbt,Marketing Attribution,Website,Startup (1-50),Dormant,1,Mobile App / Subscription,"Low for client, Medium for sponsor",N,N,4,4,3,4,1,1,17
Silver,16,Shutterstock,Olivier Dupuis,North America,Data Team,Experience & Process,High,dbt,Data Team Enablement,Website,MM (100-500),Active,1,B2C eCommerce / Mobile App,Medium for client and sponsor,Y,Y,4,3,5,1,3,1,17
Silver,17,FluentU,Mark Rittman,AsiaPac,CEO,Combination of old + new skills,Medium,dbt,Data Centralization,Website,Startup (1-50),Churned,2,Mobile App / Education,Low for client and sponsor,N,N,3,3,4,2,1,3,16
Silver,18,Klick,Olivier Dupuis,North America,MIS,"Recommendation, domain Knowledge & agile Skills",Medium,dbt,Data Team Enablement,,Startup (1-50),Churned,2,MarTech / Tech Startup,Medium for client and sponsor,Y,Y,4,3,4,2,2,1,16
Silver,19,BridgeU,Mark Rittman,UK,Engineering,"Recommendation, experience & domain knowledge",High,dbt,Data Centralization,Customer Referral,Startup (1-50),Active,2,Education,Medium for client and sponsor,Y,Y,4,4,3,1,3,1,16
Silver,20,Dr. B.,Olivier Dupuis,North America,Data Team,"Recommendation, domain knowledge, process & agile skills",High,dbt,Data Team Enablement,Personal Network,Startup (1-50),Churned,1,Healthcare,"Medium for client, High for sponsor",Y,Y,4,4,4,1,1,1,15
Silver,21,Popsa,Mark Rittman,UK,Finance,Recommendation + agile skills,Low,Looker,Data Centralization,Partner,Startup (1-50),Active,2,B2C eCommerce / Mobile App,Low for client and sponsor,Y,N,4,3,2,2,1,3,15
Silver,22,Let's Do This,Mark Rittman,UK,Product,Recommendation + agile skills,Low,Looker,Data Centralization,Partner,Startup (1-50),Churned,1,Sports Tech / B2C Marketplace,Low for client and sponsor,N,N,3,3,3,2,1,3,15
Bronze,23,11:FS,Mark Rittman,UK,Operations,Recommendation from dbt,Low,dbt,Data Centralization,Partner,SMB (50-100),Churned,2,Fintech,"Low for client, Medium for sponsor",Y,Y,3,4,2,3,1,1,14
Bronze,24,Apex Auctions,Mark Rittman,UK,Marketing,Recommendation + agile skills,Medium,dbt,Data Analytics,Personal Network,Startup (1-50),Dormant,2,B2B Auctions,Low for client and sponsor,N,N,4,3,2,1,1,3,14
Bronze,25,Tide,Mark Rittman,UK,Product,Segment + industry skills,Medium,Segment,Data Collection,Partner,Startup (1-50),Churned,1,Fintech,Low for client and sponsor,N,N,4,3,4,1,1,1,14
Bronze,26,The Oakland Group,Mark Rittman,UK,IT,Recommendation & experience,High,Looker,Data Analytics,Personal Network,MM (100-500),Dormant,1,B2B Logistics,"Medium for client, High for Sponsor",Y,Y,4,3,2,2,2,1,14
Bronze,27,Code Climate,Lewis Baker,North America,Customer Success,Recommendation from dbt,Medium,dbt,Data Centralization,Partner,Startup (1-50),Churned,1,Tech Startup,"Low for client, medium for sponsor",N,Y,3,3,3,1,1,1,12
Bronze,28,Funda Real Estate B.V.,Mark Rittman,EU,Data Team / Marketing,Recommendation from dbt,Medium,dbt,Data Centralization,Partner,SMB (50-100),Churned,2,Property / B2B2C Marketplace,Low for client and sponsor,N,N,3,3,3,1,1,1,12
